fold,held_out_subject,n_test_windows,test_accuracy,dummy_baseline_accuracy,balanced_accuracy,f1_stress,roc_auc
1,S10,911,1.0,0.681668496158068,1.0,1.0,1.0
2,S11,892,0.7757847533632287,0.695067264573991,0.6540203984819735,0.48186528497409326,0.9438211574952563
3,S13,890,0.903370786516854,0.702247191011236,0.9312,0.8603896103896104,0.9998611320754717
4,S14,890,0.5730337078651685,0.6966292134831461,0.5294205495818399,0.37293729372937295,0.5316248506571087
5,S15,894,0.9865771812080537,0.6923937360178971,0.9852548098105449,0.9782608695652174,0.9989660743134088
6,S16,888,0.8490990990990991,0.6970720720720721,0.7509293680297398,0.6683168316831684,0.9851421227426417
7,S17,911,0.6048298572996706,0.681668496158068,0.44639624632128383,0.01639344262295082,0.2884391137764451
8,S2,849,0.9540636042402827,0.7102473498233216,0.9676616915422885,0.9265536723163842,0.996764146745945
9,S3,862,0.8004640371229699,0.703016241299304,0.7509217718646864,0.6518218623481782,0.8505988294141914
10,S4,866,1.0,0.7066974595842956,1.0,1.0,1.0
11,S5,885,0.9988700564971752,0.7096045197740113,0.9992038216560509,0.9980582524271845,1.0
12,S6,881,0.9727582292849035,0.7048808172531215,0.9571999256781865,0.952191235059761,0.9978570543787936
13,S7,879,0.9294653014789533,0.7087599544937428,0.9502407704654896,0.89198606271777,0.9989090088282504
14,S8,884,0.9762443438914027,0.6968325791855203,0.9829545454545454,0.9622980251346499,0.9992064838146928
15,S9,879,0.9988623435722411,0.7064846416382252,0.999194847020934,0.9980657640232108,1.0
