experiment,variant,model,n_samples,n_features,train_subjects,test_subjects,accuracy,precision,recall,f1,roc_auc,training_seconds,inference_seconds,inference_ms_per_window
E4_EDA,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.8680800942285041,0.6892655367231638,0.991869918699187,0.8133333333333334,0.9342177998894418,0.0685266999935265,0.0157097000046633,0.0185037691456576
RB_TEMP,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.7750294464075382,0.562929061784897,1.0,0.7203513909224012,0.9682144831398564,0.0582683000247925,0.013921499979915,0.0163975264781096
RB_RESP,raw,logistic_regression,2577,18,"S3,S4",S2,0.8162544169611308,0.6618705035971223,0.7479674796747967,0.7022900763358778,0.850267632029554,0.0929659999965224,0.0121021999802906,0.0142546525091762
E4_BVP,raw,logistic_regression,2577,18,"S3,S4",S2,0.6383981154299175,0.4265060240963855,0.7195121951219512,0.5355521936459909,0.6674958540630183,0.1150243000010959,0.0328845000185538,0.0387332155695569
RB_ECG,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.4946996466431095,0.3628185907046476,0.983739837398374,0.5301204819277109,0.8196146638083297,0.0978225999861024,0.0135898999869823,0.0160069493368461
RB_EDA,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.7196702002355713,0.5161290322580645,0.5203252032520326,0.5182186234817814,0.7254985236419529,0.0816000000049825,0.0183232999988831,0.0215822143685314
RB_EMG,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.4628975265017668,0.325,0.7926829268292683,0.4609929078014184,0.6040731302835416,0.0492308999819215,0.0110908999922685,0.0130634864455459
E4_TEMP,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.6431095406360424,0.3776824034334764,0.3577235772357723,0.3674321503131524,0.5311248634874408,0.213825499988161,0.0891358999942895,0.1049892815009299
E4_IBI,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.5771495877502945,0.2945454545454545,0.3292682926829268,0.3109404990403071,0.5450053256751473,0.1588620999827981,0.0243611000187229,0.0286938751692849
RB_ACC,raw,logistic_regression,2577,54,"S3,S4",S2,0.6171967020023557,0.3015075376884422,0.2439024390243902,0.2696629213483146,0.7826180749369682,0.2427853000117465,0.0343939999875146,0.0405111896201586
E4_HR,filtered,logistic_regression,2577,18,"S3,S4",S2,0.5182567726737338,0.1970260223048327,0.2154471544715447,0.2058252427184466,0.3584516442179347,0.1263028999965172,0.0136308000073768,0.0160551236836004
ALL_SIGNALS,filtered_normalized,logistic_regression,2577,288,"S3,S4",S2,0.5865724381625441,0.1328671328671328,0.0772357723577235,0.0976863753213367,0.7147190874893823,0.222639200015692,0.0451050999981816,0.0531273262640538
E4_ACC,filtered,logistic_regression,2577,54,"S3,S4",S2,0.4546525323910483,0.0,0.0,0.0,0.0216936995240599,0.0955340999935288,0.0192730000126175,0.0227008245142727
