fold,held_out_subject,n_test_windows,test_accuracy,dummy_baseline_accuracy,balanced_accuracy,f1_stress,roc_auc
1,S10,911,0.8803512623490669,0.681668496158068,0.8120689655172414,0.7685774946921444,0.9980620800710756
2,S11,892,0.7006726457399103,0.695067264573991,0.5597485768500949,0.288,0.8134546963946869
3,S13,890,0.9101123595505618,0.702247191011236,0.8631849056603773,0.8319327731092437,0.9021705660377359
4,S14,890,0.6966292134831461,0.6966292134831461,0.5,0.0,0.453805256869773
5,S15,894,0.819910514541387,0.6923937360178971,0.7335438390365692,0.6349206349206349,0.9001850491995887
6,S16,888,0.9977477477477478,0.6970720720720721,0.9962825278810409,0.996268656716418,1.0
7,S17,911,0.5214050493962679,0.681668496158068,0.4780221000610806,0.32298136645962733,0.4150535843189516
8,S2,849,0.7479387514723204,0.7102473498233216,0.5650406504065041,0.2302158273381295,0.9834095107120225
9,S3,862,0.6392111368909513,0.703016241299304,0.7400152124587459,0.6193390452876377,0.9340385210396039
10,S4,866,0.9041570438799076,0.7066974595842956,0.9275835005918378,0.8576329331046312,0.991411919098348
11,S5,885,0.7785310734463277,0.7096045197740113,0.6715470024040249,0.5219512195121951,0.8488128578155592
12,S6,881,0.7048808172531215,0.7048808172531215,0.7750092902266815,0.6542553191489362,0.8459680416202155
13,S7,879,0.5039817974971559,0.7087599544937428,0.6500802568218298,0.540084388185654,0.9448297050561797
14,S8,884,0.8834841628959276,0.6968325791855203,0.8078358208955223,0.7621247113163973,0.9676172707889126
15,S9,879,0.8953356086461889,0.7064846416382252,0.8217054263565892,0.7830188679245284,1.0
