fold,held_out_subject,n_test_windows,test_accuracy,dummy_baseline_accuracy,balanced_accuracy,f1_stress,roc_auc
1,S10,911,0.8814489571899012,0.681668496158068,0.8137931034482759,0.7711864406779662,0.9978288633461048
2,S11,892,0.7006726457399103,0.695067264573991,0.5597485768500949,0.288,0.8068074003795066
3,S13,890,0.9067415730337078,0.702247191011236,0.8575245283018867,0.8245243128964059,0.8872875471698113
4,S14,890,0.6966292134831461,0.6966292134831461,0.5,0.0,0.4427628434886499
5,S15,894,0.8221476510067114,0.6923937360178971,0.7321280657952709,0.6327944572748267,0.8939110001468644
6,S16,888,0.9988738738738738,0.6970720720720721,0.9981412639405205,0.9981378026070763,1.0
7,S17,911,0.4950603732162459,0.681668496158068,0.4550224887556222,0.30303030303030304,0.38752290521405963
8,S2,849,0.7396937573616019,0.7102473498233216,0.5508130081300813,0.18450184501845018,0.9868004152678342
9,S3,862,0.6310904872389791,0.703016241299304,0.7319835499174918,0.6121951219512195,0.9280051051980198
10,S4,866,0.9157043879907621,0.7066974595842956,0.9380564561782718,0.8734835355285961,0.9932646286861202
11,S5,885,0.7728813559322034,0.7096045197740113,0.6641180698406404,0.508557457212714,0.8640114996654193
12,S6,881,0.6923950056753689,0.7048808172531215,0.7706243032329989,0.648508430609598,0.8439179982658244
13,S7,879,0.4857792946530148,0.7087599544937428,0.637239165329053,0.5311203319502075,0.9185769462279293
14,S8,884,0.8857466063348416,0.6968325791855203,0.8115671641791045,0.767816091954023,0.9699857045939136
15,S9,879,0.8953356086461889,0.7064846416382252,0.8217054263565892,0.7830188679245284,1.0
