experiment,variant,model,n_samples,n_features,train_subjects,test_subjects,accuracy,precision,recall,f1,roc_auc,training_seconds,inference_seconds,inference_ms_per_window
ALL_SIGNALS,filtered,logistic_regression,2577,288,"S3,S4",S2,0.5618374558303887,0.022727272727272728,0.012195121951219513,0.015873015873015872,0.740073346007092,0.24578560001100414,0.05263220000779256,0.061993168442629636
ALL_SIGNALS,filtered_normalized,logistic_regression,2577,288,"S3,S4",S2,0.5865724381625441,0.13286713286713286,0.07723577235772358,0.09768637532133675,0.7147190874893823,0.22263920001569204,0.045105099998181686,0.05312732626405381
ALL_SIGNALS,raw,logistic_regression,2577,288,"S3,S4",S2,0.541813898704358,0.044585987261146494,0.028455284552845527,0.034739454094292806,0.7336488290256038,0.2768952999904286,0.04993909999029711,0.0588210836163688
E4_ACC,filtered,logistic_regression,2577,54,"S3,S4",S2,0.4546525323910483,0.0,0.0,0.0,0.021693699524059914,0.0955340999935288,0.019273000012617558,0.022700824514272744
E4_ACC,filtered_normalized,logistic_regression,2577,54,"S3,S4",S2,0.47820965842167257,0.0,0.0,0.0,0.026722754789736965,0.08244249998824671,0.0194445000088308,0.02290282686552509
E4_ACC,raw,logistic_regression,2577,54,"S3,S4",S2,0.4452296819787986,0.0,0.0,0.0,0.023682401003114528,0.6941503999987617,0.0576569999975618,0.06791166077451331
E4_BVP,filtered,logistic_regression,2577,18,"S3,S4",S2,0.4923439340400471,0.33089579524680074,0.7357723577235772,0.45649432534678436,0.6101808033005702,0.049078999989433214,0.005087199999252334,0.005991990576268945
E4_BVP,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.4652532391048292,0.32491582491582494,0.7845528455284553,0.4595238095238095,0.6222748048376007,0.11601530000916682,0.016382500005420297,0.01929623086621943
E4_BVP,raw,logistic_regression,2577,18,"S3,S4",S2,0.6383981154299175,0.42650602409638555,0.7195121951219512,0.5355521936459909,0.6674958540630183,0.11502430000109598,0.03288450001855381,0.0387332155695569
E4_EDA,filtered,logistic_regression,2577,18,"S3,S4",S2,0.7455830388692579,0.6923076923076923,0.21951219512195122,0.3333333333333333,0.9307797058070084,0.12030090001644567,0.007721800007857382,0.00909517079841859
E4_EDA,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.8680800942285041,0.6892655367231638,0.991869918699187,0.8133333333333334,0.9342177998894418,0.06852669999352656,0.01570970000466332,0.018503769145657618
E4_EDA,raw,logistic_regression,2577,18,"S3,S4",S2,0.7809187279151943,0.7272727272727273,0.3902439024390244,0.5079365079365079,0.9149442489449768,0.11535619999631308,0.012458299985155463,0.014674087143881583
E4_HR,filtered,logistic_regression,2577,18,"S3,S4",S2,0.5182567726737338,0.1970260223048327,0.21544715447154472,0.2058252427184466,0.35845164421793474,0.12630289999651723,0.01363080000737682,0.016055123683600493
E4_HR,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.5382803297997645,0.1651376146788991,0.14634146341463414,0.15517241379310345,0.43755477355768585,0.0917732999951113,0.01554360002046451,0.018308127232584816
E4_HR,raw,logistic_regression,2577,18,"S3,S4",S2,0.5182567726737338,0.1970260223048327,0.21544715447154472,0.2058252427184466,0.35845164421793474,0.07190209999680519,0.015294799988623708,0.018015076547259964
E4_IBI,filtered,logistic_regression,2577,18,"S3,S4",S2,0.6360424028268551,0.29936305732484075,0.1910569105691057,0.23325062034739455,0.5786649408782645,0.21889950000331737,0.01830379999591969,0.021559246167161
E4_IBI,filtered_normalized,logistic_regression,2577,18,"S3,S4",S2,0.5771495877502945,0.29454545454545455,0.32926829268292684,0.31094049904030713,0.5450053256751473,0.1588620999827981,0.024361100018722937,0.028693875169284965
E4_IBI,raw,logistic_regression,2577,18,"S3,S4",S2,0.6360424028268551,0.29936305732484075,0.1910569105691057,0.23325062034739455,0.5786649408782645,0.12480859999777749,0.022292999987257645,0.026257950515026673
