subject,window_index,label_original,stress_label
S4,0,0,
S4,1,0,
S4,2,0,
S4,3,0,
S4,4,0,
S4,5,0,
S4,6,0,
S4,7,0,
S4,8,0,
S4,9,0,
S4,10,0,
S4,11,0,
S4,12,0,
S4,13,0,
S4,14,0,
S4,15,0,
S4,16,0,
S4,17,0,
S4,18,0,
S4,19,0,
S4,20,0,
S4,21,0,
S4,22,0,
S4,23,0,
S4,24,0,
S4,25,0,
S4,26,0,
S4,27,0,
S4,28,0,
S4,29,0,
S4,30,0,
S4,31,0,
S4,32,0,
S4,33,0,
S4,34,0,
S4,35,0,
S4,36,0,
S4,37,0,
S4,38,0,
S4,39,0,
S4,40,0,
S4,41,0,
S4,42,0,
S4,43,0,
S4,44,0,
S4,45,0,
S4,46,0,
S4,47,0,
S4,48,0,
S4,49,0,
S4,50,0,
S4,51,0,
S4,52,0,
S4,53,0,
S4,54,0,
S4,55,0,
S4,56,0,
S4,57,0,
S4,58,0,
S4,59,0,
S4,60,0,
S4,61,0,
S4,62,0,
S4,63,0,
S4,64,0,
S4,65,0,
S4,66,0,
S4,67,0,
S4,68,0,
S4,69,0,
S4,70,0,
S4,71,0,
S4,72,0,
S4,73,0,
S4,74,0,
S4,75,0,
S4,76,0,
S4,77,0,
S4,78,0,
S4,79,0,
S4,80,0,
S4,81,0,
S4,82,0,
S4,83,0,
S4,84,0,
S4,85,0,
S4,86,0,
S4,87,0,
S4,88,0,
S4,89,0,
S4,90,0,
S4,91,0,
S4,92,0,
S4,93,0,
S4,94,0,
S4,95,0,
S4,96,0,
S4,97,0,
S4,98,0,
S4,99,0,
S4,100,0,
S4,101,0,
S4,102,0,
S4,103,0,
S4,104,0,
S4,105,0,
S4,106,0,
S4,107,0,
S4,108,0,
S4,109,0,
S4,110,0,
S4,111,0,
S4,112,0,
S4,113,0,
S4,114,1,0.0
S4,115,1,0.0
S4,116,1,0.0
S4,117,1,0.0
S4,118,1,0.0
S4,119,1,0.0
S4,120,1,0.0
S4,121,1,0.0
S4,122,1,0.0
S4,123,1,0.0
S4,124,1,0.0
S4,125,1,0.0
S4,126,1,0.0
S4,127,1,0.0
S4,128,1,0.0
S4,129,1,0.0
S4,130,1,0.0
S4,131,1,0.0
S4,132,1,0.0
S4,133,1,0.0
S4,134,1,0.0
S4,135,1,0.0
S4,136,1,0.0
S4,137,1,0.0
S4,138,1,0.0
S4,139,1,0.0
S4,140,1,0.0
S4,141,1,0.0
S4,142,1,0.0
S4,143,1,0.0
S4,144,1,0.0
S4,145,1,0.0
S4,146,1,0.0
S4,147,1,0.0
S4,148,1,0.0
S4,149,1,0.0
S4,150,1,0.0
